Role,Name,Path,Animated,Spawn Locations,Drops / Loot,Notes
huntable-farm,Cow,public/models/animals/farm/FBX/Cow.fbx,Yes,grasslands / farms,"meat (beef), bio, leather, bone",Heaviest drops; slow.
huntable-farm,Horse,public/models/animals/farm/FBX/Horse.fbx,Yes,plains / steppe,"meat (horse), bio, leather, bone",Fast — flee behaviour candidate.
huntable-farm,Llama,public/models/animals/farm/FBX/Llama.fbx,Yes,highlands / dry,"meat, bio, leather, bone",Mid drops.
huntable-farm,Pig,public/models/animals/farm/FBX/Pig.fbx,Yes,farms / forest edge,"meat (pork), bio, leather, bone",Common low-tier hunt.
huntable-farm,Pug,public/models/animals/farm/FBX/Pug.fbx,Yes,city / settlement,"bio, leather, bone (no meat)",Settlement pet by default — only drops if killed.
huntable-farm,Sheep,public/models/animals/farm/FBX/Sheep.fbx,Yes,grasslands,"meat (mutton), bio, leather, bone, wool",Adds wool drop.
huntable-farm,Zebra,public/models/animals/farm/FBX/Zebra.fbx,Yes,savanna,"meat, bio, leather, bone",Same as Horse; different palette.
huntable-fish (deferred),Dolphin,public/models/animals/fish/FBX/Dolphin.fbx,Yes,water,"meat (fish), bio, fat",Harpoon-tier; deferred until fishing pass.
huntable-fish (deferred),Fish1-3,public/models/animals/fish/FBX/Fish{1..3}.fbx,Yes,water,"meat (fish), bio",Small generic fish.
huntable-fish (deferred),Manta ray,public/models/animals/fish/FBX/Manta ray.fbx,Yes,water,"meat (fish), bio, leather",Large flat — leather candidate.
huntable-fish (deferred),Shark,public/models/animals/fish/FBX/Shark.fbx,Yes,water,"meat (fish), bio, leather, bone",Predator AI later.
huntable-fish (deferred),Whale,public/models/animals/fish/FBX/Whale.fbx,Yes,deep water,"meat (fish), bio, fat, bone",Largest; deep-water spawn.
hostile-enemy (easy),Frog,public/models/enemies/easy_animated/FBX/Frog.fbx,Yes,swamp / pond,"bio (small), hide (small)",Pre-rigged + animated.
hostile-enemy (easy),Rat,public/models/enemies/easy_animated/FBX/Rat.fbx,Yes,sewers / dungeons / city,"bio (small), hide (small), tail",Vermin tier.
hostile-enemy (easy),Snake,public/models/enemies/easy_animated/FBX/Snake.fbx,Yes,grass / desert / dungeons,"bio, snake skin, venom (rare)",Calm version.
hostile-enemy (easy),Snake_Angry,public/models/enemies/easy_animated/FBX/Snake_Angry.fbx,Yes,grass / desert / dungeons,"bio, snake skin, venom",Aggro variant — combat AI.
hostile-enemy (easy),Spider,public/models/enemies/easy_animated/FBX/Spider.fbx,Yes,caves / dungeons,"bio, silk, fang",Wall-walk candidate.
hostile-enemy (easy),Wasp,public/models/enemies/easy_animated/FBX/Wasp.fbx,Yes,forest / hive,"bio, stinger, wax",Flying.
