Skill ID,Perk Name,Profession,Branch,Rank,SP Cost,Prerequisite,Effect,Recipes / Items Unlocked,Signature Item
gathering.forestry.1,Practiced Hand,Gathering,Forestry,1,1,Spend 1 SP (no prerequisite — branch entry),+10% timber and branch yield from felled trees.  [harvestYieldBonus +0.10],,Hatchet
gathering.forestry.2,Eye for Saplings,Gathering,Forestry,2,2,Spend 2 SP after: gathering.forestry.1,"+20% chance for rare wood (oak_dark / sappling_pine); unlocks Forager hire (passive berry/herb gather in camp radius).  [harvestRareBonus +0.20, harvesterUnlocked forager]",hire_forager,Hatchet
gathering.forestry.3,Coppice Tender,Gathering,Forestry,3,4,Spend 4 SP after: gathering.forestry.2,Felled trees regrow 2× faster on the same tile.  [treeRegrowSpeedBonus +1.00],craft_planter_box,Hatchet
gathering.forestry.4,Moonleaf Druid,Gathering,Forestry,4,8,Spend 8 SP after: gathering.forestry.3,"+25% herb_rare drops, herbs glow within 30m at night.  [harvestRareBonus +0.25, nightHerbVisionRange +30]",craft_moonleaf_satchel,Hatchet / Druid's Sickle
gathering.mining.1,Steady Swing,Gathering,Mining,1,1,Spend 1 SP (no prerequisite — branch entry),-10% time between mining hits.  [harvestSpeedBonus +0.10],,Pickaxe
gathering.mining.2,Ironvein,Gathering,Mining,2,2,Spend 2 SP after: gathering.mining.1,"+15% iron and stone yield.  [harvestYieldBonus +0.15, ironYieldBonus +0.15]",,Pickaxe
gathering.mining.3,Coppervein,Gathering,Mining,3,4,Spend 4 SP after: gathering.mining.2,"+20% copper, +15% flint and stone (stacks).  [copperYieldBonus +0.20, harvestYieldBonus +0.15]",,Pickaxe
gathering.mining.4,Deepcore Sapper,Gathering,Mining,4,8,Spend 8 SP after: gathering.mining.3,"+25% all metals, veins yield 2× when struck with rank-3+ pickaxe.  [harvestYieldBonus +0.25, veinDoubleYieldChance +0.50]",craft_pickaxe_steel,Pickaxe / Steel Pickaxe
gathering.permafrost.1,Cold Hands,Gathering,Permafrost,1,1,Spend 1 SP (no prerequisite — branch entry),Frostbite immunity in tundra biome.  [frostbiteImmunity true],,Ice Pickaxe
gathering.permafrost.2,Glacial Reader,Gathering,Permafrost,2,2,Spend 2 SP after: gathering.permafrost.1,Permafrost veins ping the minimap within 50m.  [permafrostMinimapRange +50],,Ice Pickaxe
gathering.permafrost.3,Ice Whisperer,Gathering,Permafrost,3,4,Spend 4 SP after: gathering.permafrost.2,"+25% permafrost ore + tundra herb yield.  [permafrostYieldBonus +0.25, harvestRareBonus +0.10]",craft_ice_pickaxe,Ice Pickaxe
gathering.permafrost.4,Aurora Forager,Gathering,Permafrost,4,8,Spend 8 SP after: gathering.permafrost.3,"+30% all tundra resources, unlocks aurora_crystal harvest.  [permafrostYieldBonus +0.30, auroraCrystalUnlocked true]",craft_aurora_lantern,Ice Pickaxe / Glacial Drill
gathering.crystals.1,Resonance,Gathering,Rift Crystals,1,1,Spend 1 SP (no prerequisite — branch entry),crystal_x veins audibly hum within 30m.  [crystalDetectRange +30],,Crystal Resonator
gathering.crystals.2,Refraction,Gathering,Rift Crystals,2,2,Spend 2 SP after: gathering.crystals.1,+15% crystal yield.  [crystalYieldBonus +0.15],craft_resonator_basic,Crystal Resonator
gathering.crystals.3,Shard Binder,Gathering,Rift Crystals,3,4,Spend 4 SP after: gathering.crystals.2,"Unlocks rift_shard harvest from rift anomalies.  [riftShardUnlocked true, crystalYieldBonus +0.10]",craft_shard_focus,Crystal Resonator
gathering.crystals.4,Riftcaller,Gathering,Rift Crystals,4,8,Spend 8 SP after: gathering.crystals.3,"+50% crystal yield, anomalies grant +1 rift_shard each.  [crystalYieldBonus +0.50, anomalyShardBonus +1]",craft_resonator_attuned,Crystal Resonator / Attuned Resonator
gathering.salvage.1,Scrap Magnet,Gathering,Salvage,1,1,Spend 1 SP (no prerequisite — branch entry),+20% scrap from ruined chests and wrecks.  [salvageYieldBonus +0.20],,Scrap Cutter
gathering.salvage.2,Field Stripper,Gathering,Salvage,2,2,Spend 2 SP after: gathering.salvage.1,Derelict tech grants 2× component drops.  [derelictDoubleDropChance +1.00],craft_multitool,Scrap Cutter / Multitool
gathering.salvage.3,Junker,Gathering,Salvage,3,4,Spend 4 SP after: gathering.salvage.2,Unlocks weapon → component recycling at workbench.  [recyclingUnlocked true],"craft_recycle_blade, craft_recycle_gun",Scrap Cutter / Multitool
gathering.salvage.4,Wreck Diver,Gathering,Salvage,4,8,Spend 8 SP after: gathering.salvage.3,"+50% rare salvage, sunken wrecks become harvestable.  [salvageYieldBonus +0.50, sunkenWreckUnlocked true]",craft_dive_rebreather,Scrap Cutter / Rebreather
gathering.master,Land's Bounty,Gathering,—,M,20,Spend 20 SP after maxing all 5 branches: gathering.forestry.4 + gathering.mining.4 + gathering.permafrost.4 + gathering.crystals.4 + gathering.salvage.4,"PROFESSION MASTER — +25% all yield, +25% rare drops, +15% speed, all branch unlocks active. Requires Forestry 4 + Mining 4 + Permafrost 4 + Crystals 4 + Salvage 4.  [harvestYieldBonus +0.25, harvestRareBonus +0.25, harvestSpeedBonus +0.15]","craft_resonator_master, craft_dredge_rig",Land-Steward's Crook
hunting.fishing.1,Patient Line,Hunting,Fishing,1,1,Spend 1 SP (no prerequisite — branch entry),+10% fish per pond.  [fishingYieldBonus +0.10],craft_fishing_rod,Fishing Rod
hunting.fishing.2,Tide Reader,Hunting,Fishing,2,2,Spend 2 SP after: hunting.fishing.1,+15% rare catches in any pond.  [harvestRareBonus +0.15],craft_bait_worm,Fishing Rod
hunting.fishing.3,Net Weaver,Hunting,Fishing,3,4,Spend 4 SP after: hunting.fishing.2,+20% fish (stacks).  [fishingYieldBonus +0.20],craft_fishing_net,Fishing Rod
hunting.fishing.4,Leviathan Lure,Hunting,Fishing,4,8,Spend 8 SP after: hunting.fishing.3,"+30% first cast yield, unlocks leviathan-class catches.  [fishingYieldBonus +0.30, leviathanUnlocked true]","craft_harpoon, craft_deepsea_net, craft_leviathan_bait",Fishing Rod / Harpoon
hunting.animals.1,Marksman's Eye,Hunting,Animals,1,1,Spend 1 SP (no prerequisite — branch entry),+10% Hunting XP per animal kill.  [bountyXpBonus +0.10],craft_skinning_knife,Bow / Skinning Knife
hunting.animals.2,Stalker,Hunting,Animals,2,2,Spend 2 SP after: hunting.animals.1,+5% damage to elite beasts.  [gunsmithDamageBonus +0.05],craft_snare_trap,Bow / Skinning Knife
hunting.animals.3,Trophy Carver,Hunting,Animals,3,4,Spend 4 SP after: hunting.animals.2,+15% leather/skin from animal kills.  [skinningYieldBonus +0.15],"craft_bear_trap, craft_taxidermy_kit",Bow / Skinning Knife
hunting.animals.4,Big Game Hunter,Hunting,Animals,4,8,Spend 8 SP after: hunting.animals.3,"+25% Hunting XP from boss beasts, +10% damage to all wildlife.  [bountyXpBonus +0.25, gunsmithDamageBonus +0.10]","craft_tracking_arrow, craft_trophy_mount",Bow / Sniper Rifle
hunting.bounty.1,Bounty Board Initiate,Hunting,Bounty (Missions),1,1,Spend 1 SP (no prerequisite — branch entry),+1 active bounty contract slot. Unlocks animal contracts.  [bountyContractSlots +1],craft_bounty_poster,Wanted Poster / Manacles
hunting.bounty.2,Tracker's Token,Hunting,Bounty (Missions),2,2,Spend 2 SP after: hunting.bounty.1,+25% bounty mission gold reward.  [bountyGoldBonus +0.25],craft_wanted_dossier,Wanted Poster / Manacles
hunting.bounty.3,Veteran Bounty,Hunting,Bounty (Missions),3,4,Spend 4 SP after: hunting.bounty.2,"+1 active bounty slot (stacks), +10% bounty mission XP.  [bountyContractSlots +1, bountyMissionXpBonus +0.10]","craft_capture_net, craft_bounty_lockbox",Wanted Poster / Manacles
hunting.bounty.4,Bounty King,Hunting,Bounty (Missions),4,8,Spend 8 SP after: hunting.bounty.3,"+50% rare contract chance, +25% bounty mission XP. Unlocks villain NPC contracts.  [bountyRareContractBonus +0.50, bountyMissionXpBonus +0.25, villainContractsUnlocked true]","craft_villain_trophy, craft_manacles",Wanted Poster / Manacles
hunting.tracking.1,Sharp Senses,Hunting,Tracking,1,1,Spend 1 SP (no prerequisite — branch entry),Enemies appear on minimap within 25m.  [minimapEnemyRange +25],,Spyglass
hunting.tracking.2,Bloodtrail,Hunting,Tracking,2,2,Spend 2 SP after: hunting.tracking.1,Wounded beasts leave visible blood trails for 60s.  [bloodTrailDuration +60],craft_spyglass,Spyglass
hunting.tracking.3,Bird's Eye,Hunting,Tracking,3,4,Spend 4 SP after: hunting.tracking.2,"+50% spyglass zoom range; spot rare nodes at distance.  [spyglassZoomBonus +0.50, rareNodeMarker true]",craft_compass_brass,Spyglass / Brass Compass
hunting.tracking.4,Pathfinder,Hunting,Tracking,4,8,Spend 8 SP after: hunting.tracking.3,"Reveals map fog within 100m as you move; +25% out-of-combat speed.  [fogRevealRange +100, oocSpeedBonus +0.25]",craft_pathfinders_cloak,Spyglass / Pathfinder's Cloak
hunting.trapping.1,Snare Master,Hunting,Trapping,1,1,Spend 1 SP (no prerequisite — branch entry),Placed traps trigger 2× more often.  [trapTriggerBonus +1.00],,Snare Kit
hunting.trapping.2,Passive Hunter,Hunting,Trapping,2,2,Spend 2 SP after: hunting.trapping.1,Set traps grant +5 Hunting XP every 5 minutes (max 6/h).  [passiveTrapXpRate +1],craft_snare_advanced,Snare Kit
hunting.trapping.3,Lure Crafter,Hunting,Trapping,3,4,Spend 4 SP after: hunting.trapping.2,"bait_worm and bait_meat last 2× longer in traps; unlocks Trapper hire (resets snares & gathers carcasses).  [baitDurationBonus +1.00, allyUnlocked trapper]","craft_bait_meat, craft_bait_lure_pheromone, hire_trapper",Snare Kit
hunting.trapping.4,Honey Pot,Hunting,Trapping,4,8,Spend 8 SP after: hunting.trapping.3,"Unlock honey_pot trap (catches rare beasts overnight), +50% trap rare drop chance.  [honeyPotUnlocked true, trapRareDropBonus +0.50]",craft_honey_pot,Snare Kit
hunting.master,Apex Predator,Hunting,—,M,20,Spend 20 SP after maxing all 5 branches: hunting.fishing.4 + hunting.animals.4 + hunting.bounty.4 + hunting.tracking.4 + hunting.trapping.4,"PROFESSION MASTER — +25% all damage, +25% hunt XP, +25% skinning, +1 contract slot, all unlocks active. Requires Fishing 4 + Animals 4 + Bounty 4 + Tracking 4 + Trapping 4.  [gunsmithDamageBonus +0.25, bladesmithDamageBonus +0.25, bountyXpBonus +0.25, skinningYieldBonus +0.25, bountyContractSlots +1]",craft_legendary_trophy,Bow / Sniper Rifle
crafting.equipment.1,Apprentice Smith,Crafting,Equipment,1,1,Spend 1 SP (no prerequisite — branch entry),-10% material cost on craft.  [craftCostReduction +0.10],"craft_pickaxe, craft_hammer_tool, craft_bucket_metal",Carpenter Hammer
crafting.equipment.2,Field Repair,Crafting,Equipment,2,2,Spend 2 SP after: crafting.equipment.1,+10% craft quality.  [craftQualityBonus +0.10],"craft_repair_kit, craft_whetstone, craft_torch_metal",Carpenter Hammer
crafting.equipment.3,Layered Plate,Crafting,Equipment,3,4,Spend 4 SP after: crafting.equipment.2,+10% armour defense.  [armourDefenseBonus +0.10],"craft_shield_round, craft_shield_round_2",Carpenter Hammer
crafting.equipment.4,Artificer,Crafting,Equipment,4,8,Spend 8 SP after: crafting.equipment.3,"-15% cost, +25% quality on legendary recipes (stacks).  [craftCostReduction +0.15, craftQualityBonus +0.25]","craft_workbench, craft_anvil, craft_weapon_stand, craft_workbench_drawers",Carpenter Hammer
crafting.bladesmith.1,Sharper Edge,Crafting,Bladesmith,1,1,Spend 1 SP (no prerequisite — branch entry),+5% melee weapon damage.  [bladesmithDamageBonus +0.05],"craft_dagger, craft_iron_sword",Smith's Hammer
crafting.bladesmith.2,Folded Steel,Crafting,Bladesmith,2,2,Spend 2 SP after: crafting.bladesmith.1,+10% melee weapon damage (stacks).  [bladesmithDamageBonus +0.10],"craft_sword_2, craft_dagger_2, craft_axe_small",Smith's Hammer
crafting.bladesmith.3,Warden's Blade,Crafting,Bladesmith,3,4,Spend 4 SP after: crafting.bladesmith.2,+10% craft quality on swords.  [craftQualityBonus +0.10],"craft_axe, craft_hammer_small, craft_spear",Smith's Hammer
crafting.bladesmith.4,Soulforged,Crafting,Bladesmith,4,8,Spend 8 SP after: crafting.bladesmith.3,"+25% bladed damage, +15% melee crit (stacks).  [bladesmithDamageBonus +0.25, bladesmithDamageBonus +0.15]","craft_sword_big, craft_axe_double, craft_hammer_double, craft_claymore, craft_scythe",Smith's Hammer
crafting.gunsmith.1,True Sights,Crafting,Gunsmith,1,1,Spend 1 SP (no prerequisite — branch entry),+5% ranged weapon damage.  [gunsmithDamageBonus +0.05],"craft_bow_wooden, craft_arrow_iron, craft_pistol_1",Gunsmith Calipers
crafting.gunsmith.2,Tight Bore,Crafting,Gunsmith,2,2,Spend 2 SP after: crafting.gunsmith.1,+10% ranged damage (stacks).  [gunsmithDamageBonus +0.10],"craft_bow_wooden_2, craft_pistol_2, craft_pistol_3, craft_revolver_1, craft_smg_1",Gunsmith Calipers
crafting.gunsmith.3,Quick Draw,Crafting,Gunsmith,3,4,Spend 4 SP after: crafting.gunsmith.2,-10% ranged crafting cost.  [craftCostReduction +0.10],"craft_smg_2, craft_smg_3, craft_shotgun_1, craft_shotgun_2, craft_bow_evil",Gunsmith Calipers
crafting.gunsmith.4,Rift-Hunter Rifle,Crafting,Gunsmith,4,8,Spend 8 SP after: crafting.gunsmith.3,"+25% ranged damage, +15% boss damage (stacks).  [gunsmithDamageBonus +0.25, gunsmithDamageBonus +0.15]","craft_assault_rifle_1, craft_assault_rifle_2, craft_assault_rifle_3, craft_shotgun_sawedoff, craft_shotgun_3, craft_bullpup_1, craft_sniper_1, craft_sniper_5, craft_assault_rifle2_4, craft_bullpup_3",Gunsmith Calipers
crafting.armour.1,Padded Lining,Crafting,Armour,1,1,Spend 1 SP (no prerequisite — branch entry),+5% armour defense.  [armourDefenseBonus +0.05],"craft_armour_peasant_chest, craft_armour_peasant_legs, craft_armour_peasant_feet, craft_armour_peasant_arms",Plate Hammer
crafting.armour.2,Plate & Mail,Crafting,Armour,2,2,Spend 2 SP after: crafting.armour.1,+10% defense (stacks).  [armourDefenseBonus +0.10],"craft_armour_leather_set, craft_helmet_open",Plate Hammer
crafting.armour.3,Reinforced Joints,Crafting,Armour,3,4,Spend 4 SP after: crafting.armour.2,+10% damage reduction.  [damageReductionBonus +0.10],"craft_armour_mail_set, craft_shield_heater",Plate Hammer
crafting.armour.4,Aegis Plating,Crafting,Armour,4,8,Spend 8 SP after: crafting.armour.3,"+25% damage reduction, +15% defense (stacks).  [damageReductionBonus +0.25, armourDefenseBonus +0.15]","craft_armour_plate_set, craft_shield_heater_2, craft_helmet_full, craft_armour_ranger_chest, craft_armour_ranger_legs, craft_armour_ranger_feet, craft_armour_ranger_arms, craft_armour_ranger_head, craft_armour_ranger_shoulders",Plate Hammer
crafting.tinkering.1,Mod Slot,Crafting,Tinkering,1,1,Spend 1 SP (no prerequisite — branch entry),First weapon attachment per gun costs no schematic.  [firstAttachmentFree true],"craft_attach_silencer_1, craft_attach_scope_1",Soldering Iron
crafting.tinkering.2,Hot Wire,Crafting,Tinkering,2,2,Spend 2 SP after: crafting.tinkering.1,Unlocks mid-tier attachment recipes; +10% gadget effect.  [gadgetEffectBonus +0.10],"craft_attach_silencer_2, craft_attach_scope_2, craft_attach_grip",Soldering Iron
crafting.tinkering.3,Engineer,Crafting,Tinkering,3,4,Spend 4 SP after: crafting.tinkering.2,"Gadget cooldowns -20%; unlock heavy attachments.  [gadgetCooldownReduction +0.20, gadgetEffectBonus +0.10]","craft_attach_bipod, craft_attach_silencer_long, craft_attach_scope_3, craft_attach_tripod",Soldering Iron / Multitool
crafting.tinkering.4,Master Tinkerer,Crafting,Tinkering,4,8,Spend 8 SP after: crafting.tinkering.3,"Gadgets crit for +50% effect; unlock prototype gadgets.  [gadgetCritChance +0.25, gadgetCritBonus +0.50]","craft_drone_recon, craft_emp_grenade, craft_grappling_hook",Soldering Iron / Prototype Rig
crafting.master,Riftforge Artisan,Crafting,—,M,20,Spend 20 SP after maxing all 5 branches: crafting.equipment.4 + crafting.bladesmith.4 + crafting.gunsmith.4 + crafting.armour.4 + crafting.tinkering.4,"PROFESSION MASTER — +15% all weapon damage, +25% craft quality, -15% craft cost, all unlocks active. Requires Equipment 4 + Bladesmith 4 + Gunsmith 4 + Armour 4 + Tinkering 4.  [bladesmithDamageBonus +0.15, gunsmithDamageBonus +0.15, armourDefenseBonus +0.15, craftQualityBonus +0.25, craftCostReduction +0.15]","craft_shield_celtic_golden, craft_sword_golden, craft_bow_golden, craft_sniper_6, craft_gun_scifi_pistol",Anvil
township.leadership.1,Fair Hand,Township,Leadership,1,1,Spend 1 SP (no prerequisite — branch entry),+1 NPC recruit cap.  [recruitCapBonus +1],,Captain's Banner
township.leadership.2,Camp Morale,Township,Leadership,2,2,Spend 2 SP after: township.leadership.1,"+10% camp morale; +1 party Follower slot (hire_mercenary).  [campMoraleBonus +0.10, followerSlots +1]","build_banner, hire_mercenary",Captain's Banner
township.leadership.3,Trusted Captain,Township,Leadership,3,4,Spend 4 SP after: township.leadership.2,+2 NPC recruit cap (stacks).  [recruitCapBonus +2],build_recruit_post,Captain's Banner
township.leadership.4,Warlord,Township,Leadership,4,8,Spend 8 SP after: township.leadership.3,"+5 NPC recruit cap, +20% morale, +2 party Follower slots (stacks).  [recruitCapBonus +5, campMoraleBonus +0.20, followerSlots +2]","build_banner_2, build_war_banner",Captain's Banner / War Banner
township.buildings.1,Frugal Builder,Township,Buildings & Prosperity,1,1,Spend 1 SP (no prerequisite — branch entry),-10% building cost.  [buildCostReduction +0.10],"build_floor_modular, build_wall_modular, build_door_round",Mason's Trowel
township.buildings.2,Salvage Yard,Township,Buildings & Prosperity,2,2,Spend 2 SP after: township.buildings.1,"+10% morale per building; unlocks Logging Camp (employs Woodcutter NPC, +5 wood/day passive).  [campMoraleBonus +0.10, harvesterUnlocked woodcutter]","build_floor_brick, build_floor_wood_dark, build_window, build_window_shutters, build_doorframe_round, build_logging_camp, hire_woodcutter",Mason's Trowel
township.buildings.3,Master Mason,Township,Buildings & Prosperity,3,4,Spend 4 SP after: township.buildings.2,"-20% building cost (stacks); unlocks Mining Outpost (employs Miner NPC, +5 ore/day).  [buildCostReduction +0.20, harvesterUnlocked miner]","build_roof_tile, build_overhang_plaster, build_balcony_simple, build_stairs_modular, build_mining_outpost, hire_miner",Mason's Trowel
township.buildings.4,Boomtown,Township,Buildings & Prosperity,4,8,Spend 8 SP after: township.buildings.3,"-15% craft cost, +30% morale (stacks); unlocks Field (employs Farmer NPC, +5 herb/day).  [craftCostReduction +0.15, campMoraleBonus +0.30, harvesterUnlocked farmer]","build_workbench_drawers, build_armory_chest, build_metal_fence, build_overhang_uneven_brick, build_balcony_cross, build_keep_chimney, build_field, hire_farmer",Mason's Trowel
