Profession,Specialization (Branch),Rank,Skill ID,Skill Name,Description,Point Cost,Prereq Skill ID(s),Passive Effects,Recipes Granted,Signature Item (Wield → +25% XP for Combat/Hunting; flavor only elsewhere),Icon
Gathering,Forestry,1,gathering.forestry.1,Practiced Hand,+10% timber and branch yield from felled trees.,1,—,harvestYieldBonus +0.10,—,Hatchet,/icons/perks/maker/11.png
Gathering,Forestry,2,gathering.forestry.2,Eye for Saplings,"+20% chance for rare wood (oak_dark / sappling_pine); unlocks Forager hire (passive berry/herb gather in camp radius).",2,gathering.forestry.1,"harvestRareBonus +0.20, harvesterUnlocked forager",hire_forager,Hatchet,/icons/perks/maker/12.png
Gathering,Forestry,3,gathering.forestry.3,Coppice Tender,Felled trees regrow 2× faster on the same tile.,4,gathering.forestry.2,treeRegrowSpeedBonus +1.00,craft_planter_box,Hatchet,/icons/perks/maker/13.png
Gathering,Forestry,4,gathering.forestry.4,Moonleaf Druid,"+25% herb_rare drops, herbs glow within 30m at night.",8,gathering.forestry.3,"harvestRareBonus +0.25, nightHerbVisionRange +30",craft_moonleaf_satchel,Hatchet / Druid's Sickle,/icons/perks/maker/14.png
Gathering,Mining,1,gathering.mining.1,Steady Swing,-10% time between mining hits.,1,—,harvestSpeedBonus +0.10,—,Pickaxe,/icons/perks/maker/15.png
Gathering,Mining,2,gathering.mining.2,Ironvein,+15% iron and stone yield.,2,gathering.mining.1,"harvestYieldBonus +0.15, ironYieldBonus +0.15",—,Pickaxe,/icons/perks/maker/16.png
Gathering,Mining,3,gathering.mining.3,Coppervein,"+20% copper, +15% flint and stone (stacks).",4,gathering.mining.2,"copperYieldBonus +0.20, harvestYieldBonus +0.15",—,Pickaxe,/icons/perks/maker/17.png
Gathering,Mining,4,gathering.mining.4,Deepcore Sapper,"+25% all metals, veins yield 2× when struck with rank-3+ pickaxe.",8,gathering.mining.3,"harvestYieldBonus +0.25, veinDoubleYieldChance +0.50",craft_pickaxe_steel,Pickaxe / Steel Pickaxe,/icons/perks/maker/18.png
Gathering,Permafrost,1,gathering.permafrost.1,Cold Hands,Frostbite immunity in tundra biome.,1,—,frostbiteImmunity true,—,Ice Pickaxe,/icons/perks/maker/19.png
Gathering,Permafrost,2,gathering.permafrost.2,Glacial Reader,Permafrost veins ping the minimap within 50m.,2,gathering.permafrost.1,permafrostMinimapRange +50,—,Ice Pickaxe,/icons/perks/maker/20.png
