Activity,Trigger,Profession Awarded,XP Amount,Side-Grant Profession,Side-Grant XP,Modifier (Effect Key),Source File,Notes
Harvest fallen log,timber_log node depleted,gathering,6,—,—,—,GameEngine.ts:198,Wood drop.
Harvest wild herbs,wild_herbs node depleted,gathering,5,chemistry,4,—,GameEngine.ts:199-201,Herbs feed potions and cooking — both live in chemistry.
Mine iron vein,iron_ore node depleted,gathering,10,—,—,—,GameEngine.ts:202,
Mine permafrost vein,permafrost_ore node depleted,gathering,12,—,—,—,GameEngine.ts:203,Tundra-only — highest gathering yield.
Mine copper deposit,copper_deposit node depleted,gathering,8,—,—,—,GameEngine.ts:204,Desert-only.
Knap flint,flint_outcrop node depleted,gathering,4,—,—,—,GameEngine.ts:205,Cheap baseline.
Fish frozen pond,frozen_pond node depleted,hunting,8,chemistry,4,—,GameEngine.ts:206-208,Fish are also cooking input.
Harvest other,any unhandled resource node,gathering,5,—,—,—,GameEngine.ts:209,Default fallback.
Kill animal (wildlife),wildlife enemy death credited to player,hunting,baseHuntXp × (1 + bountyXpBonus),survival,max(1 round(baseHuntXp × 0.4)),bountyXpBonus,GameEngine.ts:429-432,Hunting > Animals branch flavor. baseHuntXp scales with creature tier; survival side-grant always positive.
Kill villain NPC,villain/raider death credited to player,hunting,baseHuntXp × (1 + bountyXpBonus),survival,max(1 round(baseHuntXp × 0.4)),bountyXpBonus,GameEngine.ts:429-432,Same routing as animals; doubled if target is on an active bounty contract (see below).
Complete bounty mission (animal),bounty contract target killed/captured,hunting,contractBaseXp × (1 + bountyMissionXpBonus),—,—,bountyMissionXpBonus,(needs wiring) systems/Bounty.ts,Animal contracts unlocked by hunting.bounty.1. contractBaseXp scales with contract rarity.
Complete bounty mission (villain),villain NPC contract completed,hunting,contractBaseXp × 1.5 × (1 + bountyMissionXpBonus),—,—,"bountyMissionXpBonus, villainContractsUnlocked",(needs wiring) systems/Bounty.ts,Villain contracts unlocked by hunting.bounty.4. 1.5× base XP and gold reward.
Kill enemy with pistol,enemy death + equipped weapon class = pistol,combat,baseHuntXp × (1 + signatureXpMult),hunting,baseHuntXp × 0.4,signatureXpMult (+0.25 if combat.pistol.X learned),(needs wiring) GameEngine.ts:429-432,Combat XP gated on weapon class. Hunting still side-grants.
Kill enemy with rifle,enemy death + equipped weapon class = rifle,combat,baseHuntXp × (1 + signatureXpMult),hunting,baseHuntXp × 0.4,signatureXpMult (+0.25 if combat.rifle.X learned),(needs wiring) GameEngine.ts:429-432,
Kill enemy with blade,enemy death + equipped weapon class = blade,combat,baseHuntXp × (1 + signatureXpMult),hunting,baseHuntXp × 0.4,signatureXpMult (+0.25 if combat.blades.X learned),(needs wiring) GameEngine.ts:429-432,Sword/dagger/scythe.
Kill enemy with hammer,enemy death + equipped weapon class = hammer,combat,baseHuntXp × (1 + signatureXpMult),hunting,baseHuntXp × 0.4,signatureXpMult (+0.25 if combat.hammers.X learned),(needs wiring) GameEngine.ts:429-432,Hammer/axe/blunt.
Pickpocket NPC,successful pickpocket attempt (Theft 1+ required),combat,8,—,—,pickpocketYieldBonus,(needs wiring) systems/Theft.ts,Unlocked by combat.theft.1.
Lockpick container,lock opened with picks,combat,6,—,—,lockpickSpeedBonus,(needs wiring) systems/Theft.ts,Speed bonus from combat.theft.2.
